Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,class,data,model
0.8157894736842105,0.9422222222222222,0.7045454545454544,0.9680365296803652,0.7045454545454546,0.8157894736842105,0.7560975609756098,0.1444866920152091,0.11787072243346007,0.16730038022813687,0.8790058479532163,CMS1,TCGA,rDTC
0.839622641509434,0.8789808917197452,0.8240740740740742,0.8903225806451613,0.8240740740740741,0.839622641509434,0.8317757009345794,0.40304182509505704,0.33840304182509506,0.41064638783269963,0.8593017666145897,CMS2,TCGA,rDTC
0.7586206896551724,0.9572649572649573,0.6875000000000002,0.9696969696969697,0.6875,0.7586206896551724,0.7213114754098361,0.11026615969581749,0.08365019011406843,0.12167300380228137,0.8579428234600648,CMS3,TCGA,rDTC
0.5535714285714286,0.927536231884058,0.6739130434782609,0.8847926267281105,0.6739130434782609,0.5535714285714286,0.6078431372549019,0.21292775665399238,0.11787072243346007,0.17490494296577946,0.7405538302277432,CMS4,TCGA,rDTC
0.17647058823529413,0.8820960698689956,0.18181818181818177,0.8782608695652173,0.18181818181818182,0.17647058823529413,0.17910447761194032,0.12927756653992395,0.022813688212927757,0.12547528517110265,0.5292833290521448,NOLBL,TCGA,rDTC
0.8947368421052632,0.9555555555555556,0.7727272727272729,0.9817351598173516,0.7727272727272727,0.8947368421052632,0.8292682926829269,0.1444866920152091,0.12927756653992395,0.16730038022813687,0.9251461988304094,CMS1,NS,rDTC
0.7641509433962265,0.8853503184713376,0.8181818181818182,0.8475609756097561,0.8181818181818182,0.7641509433962265,0.7902439024390244,0.40304182509505704,0.30798479087452474,0.376425855513308,0.824750630933782,CMS2,NS,rDTC
0.6551724137931034,0.9487179487179487,0.6129032258064514,0.9568965517241379,0.6129032258064516,0.6551724137931034,0.6333333333333333,0.11026615969581749,0.07224334600760456,0.11787072243346007,0.801945181255526,CMS3,NS,rDTC
0.7678571428571429,0.9516908212560387,0.8113207547169812,0.9380952380952381,0.8113207547169812,0.7678571428571429,0.7889908256880735,0.21292775665399238,0.1634980988593156,0.20152091254752852,0.8597739820565908,CMS4,NS,rDTC
0.29411764705882354,0.8864628820960698,0.2777777777777777,0.8942731277533039,0.2777777777777778,0.29411764705882354,0.28571428571428575,0.12927756653992395,0.03802281368821293,0.13688212927756654,0.5902902645774467,NOLBL,NS,rDTC
