Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,class,data,model
0.8157894736842105,0.96,0.7749999999999998,0.968609865470852,0.775,0.8157894736842105,0.7948717948717949,0.1444866920152091,0.11787072243346007,0.1520912547528517,0.8878947368421053,CMS1,TCGA,SpaceRAT+DTC
0.8584905660377359,0.9235668789808917,0.883495145631068,0.9062499999999999,0.883495145631068,0.8584905660377359,0.8708133971291866,0.40304182509505704,0.34600760456273766,0.3916349809885932,0.8910287225093139,CMS2,TCGA,SpaceRAT+DTC
0.8620689655172413,0.9743589743589743,0.8064516129032256,0.9827586206896551,0.8064516129032258,0.8620689655172413,0.8333333333333334,0.11026615969581749,0.09505703422053231,0.11787072243346007,0.9182139699381078,CMS3,TCGA,SpaceRAT+DTC
0.6964285714285714,0.9420289855072463,0.764705882352941,0.9198113207547169,0.7647058823529411,0.6964285714285714,0.7289719626168223,0.21292775665399238,0.1482889733840304,0.19391634980988592,0.8192287784679089,CMS4,TCGA,SpaceRAT+DTC
0.5294117647058824,0.9126637554585153,0.4736842105263159,0.9288888888888889,0.47368421052631576,0.5294117647058824,0.5,0.12927756653992395,0.06844106463878327,0.1444866920152091,0.7210377600821989,NOLBL,TCGA,SpaceRAT+DTC
0.7894736842105263,0.9644444444444444,0.7894736842105263,0.9644444444444444,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.1444866920152091,0.11406844106463879,0.1444866920152091,0.8769590643274854,CMS1,NS,SpaceRAT+DTC
0.4811320754716981,0.8535031847133758,0.6891891891891893,0.708994708994709,0.6891891891891891,0.4811320754716981,0.5666666666666667,0.40304182509505704,0.19391634980988592,0.2813688212927757,0.667317630092537,CMS2,NS,SpaceRAT+DTC
0.5172413793103449,0.8760683760683761,0.3409090909090909,0.9360730593607306,0.3409090909090909,0.5172413793103449,0.410958904109589,0.11026615969581749,0.057034220532319393,0.16730038022813687,0.6966548776893604,CMS3,NS,SpaceRAT+DTC
0.75,0.8599033816425121,0.591549295774648,0.9270833333333334,0.5915492957746479,0.75,0.6614173228346456,0.21292775665399238,0.1596958174904943,0.26996197718631176,0.8049516908212561,CMS4,NS,SpaceRAT+DTC
0.23529411764705882,0.8777292576419214,0.2222222222222223,0.8854625550660794,0.2222222222222222,0.23529411764705882,0.22857142857142856,0.12927756653992395,0.030418250950570342,0.13688212927756654,0.5565116876444901,NOLBL,NS,SpaceRAT+DTC
