Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,class,data,model
0.8421052631578947,0.9733333333333334,0.842105263157895,0.9733333333333334,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.1444866920152091,0.12167300380228137,0.1444866920152091,0.907719298245614,CMS1,TCGA,MLR
0.8962264150943396,0.8152866242038217,0.7661290322580645,0.920863309352518,0.7661290322580645,0.8962264150943396,0.826086956521739,0.40304182509505704,0.3612167300380228,0.4714828897338403,0.8557565196490806,CMS2,TCGA,MLR
0.7241379310344828,0.9700854700854701,0.75,0.9659574468085106,0.75,0.7241379310344828,0.736842105263158,0.11026615969581749,0.07984790874524715,0.10646387832699619,0.8471117005599764,CMS3,TCGA,MLR
0.7857142857142857,0.9516908212560387,0.8148148148148149,0.9425837320574162,0.8148148148148148,0.7857142857142857,0.7999999999999999,0.21292775665399238,0.16730038022813687,0.20532319391634982,0.8687025534851622,CMS4,TCGA,MLR
0.23529411764705882,0.9519650655021834,0.42105263157894735,0.8934426229508197,0.42105263157894735,0.23529411764705882,0.3018867924528302,0.12927756653992395,0.030418250950570342,0.07224334600760456,0.5936295915746211,NOLBL,TCGA,MLR
0.7631578947368421,0.9511111111111111,0.7250000000000002,0.9596412556053812,0.725,0.7631578947368421,0.7435897435897436,0.1444866920152091,0.11026615969581749,0.1520912547528517,0.8571345029239766,CMS1,NS,MLR
0.9245283018867925,0.8789808917197452,0.8376068376068376,0.9452054794520547,0.8376068376068376,0.9245283018867925,0.8789237668161435,0.40304182509505704,0.3726235741444867,0.4448669201520912,0.9017545968032689,CMS2,NS,MLR
0.7931034482758621,0.9829059829059829,0.8518518518518514,0.9745762711864407,0.8518518518518519,0.7931034482758621,0.8214285714285715,0.11026615969581749,0.08745247148288973,0.10266159695817491,0.8880047155909225,CMS3,NS,MLR
0.8035714285714286,0.9516908212560387,0.8181818181818182,0.9471153846153846,0.8181818181818182,0.8035714285714286,0.8108108108108109,0.21292775665399238,0.17110266159695817,0.20912547528517111,0.8776311249137336,CMS4,NS,MLR
0.2647058823529412,0.9344978165938864,0.3749999999999999,0.895397489539749,0.375,0.2647058823529412,0.31034482758620696,0.12927756653992395,0.034220532319391636,0.09125475285171103,0.5996018494734138,NOLBL,NS,MLR
