Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,class,data,model
0.7894736842105263,0.9555555555555556,0.7500000000000002,0.9641255605381166,0.75,0.7894736842105263,0.7692307692307692,0.1444866920152091,0.11406844106463879,0.1520912547528517,0.8725146198830409,CMS1,TCGA,CMScaller
0.78301886792452835,0.9745222929936306,0.9540229885057471,0.8693181818181819,0.9540229885057471,0.78301886792452835,0.8601036269430052,0.40304182509505704,0.3155893536121673,0.33079847908745247,0.8787705804590795,CMS2,TCGA,CMScaller
0.9310344827586207,0.9615384615384616,0.75,0.9911894273127754,0.75,0.9310344827586207,0.8307692307692308,0.11026615969581749,0.10266159695817491,0.13688212927756654,0.9462864721485411,CMS3,TCGA,CMScaller
0.9642857142857143,0.8792270531400966,0.6835443037974683,0.9891304347826088,0.6835443037974683,0.9642857142857143,0.7999999999999999,0.21292775665399238,0.20532319391634982,0.30038022813688214,0.9217563837129055,CMS4,TCGA,CMScaller
0.2647058823529412,0.9475982532751092,0.4285714285714285,0.8966942148760331,0.42857142857142855,0.2647058823529412,0.32727272727272727,0.12927756653992395,0.034220532319391636,0.07984790874524715,0.6061520678140252,NOLBL,TCGA,CMScaller
0.5789473684210527,0.9644444444444444,0.7333333333333333,0.9313304721030043,0.7333333333333333,0.5789473684210527,0.6470588235294117,0.1444866920152091,0.08365019011406843,0.11406844106463879,0.7716959064327485,CMS1,NS,CMScaller
0.1792452830188679,0.9936305732484076,0.95,0.6419753086419753,0.95,0.1792452830188679,0.30158730158730157,0.40304182509505704,0.07224334600760456,0.07604562737642585,0.5864379281336378,CMS2,NS,CMScaller
0.41379310344827586,0.9829059829059829,0.7499999999999994,0.9311740890688259,0.75,0.41379310344827586,0.5333333333333333,0.11026615969581749,0.045627376425855515,0.060836501901140684,0.6983495431771294,CMS3,NS,CMScaller
0.6785714285714286,0.966183574879227,0.8444444444444442,0.9174311926605504,0.8444444444444444,0.6785714285714286,0.7524752475247526,0.21292775665399238,0.1444866920152091,0.17110266159695817,0.8223775017253279,CMS4,NS,CMScaller
0.6764705882352942,0.4366812227074236,0.1513157894736842,0.9009009009009008,0.1513157894736842,0.6764705882352942,0.24731182795698925,0.12927756653992395,0.08745247148288973,0.5779467680608364,0.5565759054713588,NOLBL,NS,CMScaller
